title,genre,description,mood_tag,tone,rating
Show_1,Comedy,A journey about self-discovery.,excited,uplifting,7.1
Show_2,Comedy,A series about courage.,excited,inspirational,8.6
Show_3,Drama,A journey about courage.,neutral,light-hearted,6.5
Show_4,Thriller,A story about survival.,neutral,light-hearted,6.9
Show_5,Thriller,A movie about self-discovery.,happy,intense,8.1
Show_6,Romance,A story about friendship.,relaxed,inspirational,9.0
Show_7,Documentary,A journey about mystery.,relaxed,uplifting,6.0
Show_8,Romance,A journey about friendship.,relaxed,inspirational,8.3
Show_9,Documentary,A series about love.,happy,dark,6.8
Show_10,Thriller,A series about self-discovery.,happy,inspirational,8.8
Show_11,Romance,A story about mystery.,excited,uplifting,8.2
Show_12,Action,A story about survival.,sad,dark,6.9
Show_13,Comedy,A movie about mystery.,relaxed,dark,6.6
Show_14,Action,A journey about self-discovery.,sad,light-hearted,7.1
Show_15,Action,A journey about love.,neutral,intense,6.7
Show_16,Documentary,A movie about love.,happy,intense,8.3
Show_17,Action,A series about courage.,sad,dark,6.5
Show_18,Comedy,A story about self-discovery.,neutral,intense,6.5
Show_19,Comedy,A series about self-discovery.,neutral,intense,6.7
Show_20,Action,A journey about survival.,happy,uplifting,9.1
Show_21,Drama,A story about love.,relaxed,intense,8.0
Show_22,Comedy,A series about courage.,happy,light-hearted,8.1
Show_23,Comedy,A series about friendship.,relaxed,uplifting,7.1
Show_24,Comedy,A story about courage.,sad,light-hearted,6.4
Show_25,Drama,A movie about love.,neutral,dark,7.3
Show_26,Drama,A journey about love.,neutral,light-hearted,9.4
Show_27,Action,A journey about friendship.,neutral,dark,6.8
Show_28,Drama,A journey about survival.,sad,inspirational,8.2
Show_29,Comedy,A series about self-discovery.,happy,light-hearted,6.1
Show_30,Thriller,A series about self-discovery.,sad,light-hearted,8.1
Show_31,Documentary,A story about friendship.,happy,inspirational,6.8
Show_32,Drama,A series about courage.,sad,uplifting,8.3
Show_33,Drama,A journey about love.,relaxed,inspirational,6.1
Show_34,Documentary,A movie about love.,relaxed,intense,7.7
Show_35,Documentary,A movie about courage.,happy,intense,8.3
Show_36,Comedy,A journey about mystery.,excited,inspirational,9.5
Show_37,Comedy,A story about courage.,sad,uplifting,7.8
Show_38,Thriller,A story about love.,relaxed,uplifting,6.4
Show_39,Drama,A series about self-discovery.,sad,uplifting,8.8
Show_40,Documentary,A series about self-discovery.,sad,dark,9.2
Show_41,Documentary,A story about love.,neutral,uplifting,6.6
Show_42,Romance,A series about love.,relaxed,uplifting,8.4
Show_43,Romance,A story about friendship.,relaxed,inspirational,7.5
Show_44,Drama,A journey about courage.,excited,intense,7.5
Show_45,Documentary,A series about love.,excited,uplifting,7.1
Show_46,Comedy,A story about love.,sad,uplifting,7.6
Show_47,Comedy,A journey about survival.,sad,intense,8.9
Show_48,Documentary,A movie about survival.,excited,light-hearted,8.3
Show_49,Action,A movie about self-discovery.,happy,inspirational,8.4
Show_50,Documentary,A series about courage.,relaxed,inspirational,7.3
Show_51,Romance,A series about survival.,happy,uplifting,7.9
Show_52,Action,A story about love.,sad,inspirational,8.3
Show_53,Comedy,A journey about self-discovery.,sad,dark,6.6
Show_54,Action,A movie about survival.,happy,intense,7.7
Show_55,Thriller,A movie about survival.,sad,intense,9.3
Show_56,Action,A journey about courage.,happy,inspirational,7.3
Show_57,Action,A series about mystery.,excited,inspirational,7.4
Show_58,Action,A journey about survival.,happy,dark,8.8
Show_59,Drama,A journey about love.,sad,light-hearted,7.2
Show_60,Drama,A series about survival.,happy,dark,7.9
